Spell,V,M
Stone,10,2
Water,25,1.8
Aero,40,1.6
Fire,55,1.4
Blizzard,70,1.2
Thunder,85,1
Stone II,100,3
Water II,120,2.8
Aero II,140,2.6
Fire II,160,2.4
Blizzard II,180,2.2
Thunder II,200,2
Stone III,200,4
Water III,230,3.7
Aero III,260,3.4
Fire III,290,3.1
Blizzard III,320,2.8
Thunder III,350,2.5
Stone IV,400,5
Water IV,440,4.7
Aero IV,480,4.4
Fire IV,520,4.2
Blizzard IV,560,3.9
Thunder IV,600,3.6
Stone V,650,6
Water V,700,5.6
Aero V,750,5.2
Fire V,800,4.8
Blizzard V,850,4.4
Thunder V,900,4
Stonega,60,3
Waterga,80,2.8
Aeroga,100,2.6
Firaga,120,2.4
Blizzaga,160,2.2
Thundaga,200,2
Stonega II,250,4
Waterga II,280,3.7
Aeroga II,310,3.4
Firaga II,340,3.1
Blizzaga II,370,2.8
Thundaga II,400,2.5
Stonega III,500,5
Waterga III,540,4.7
Aeroga III,580,4.4
Firaga III,620,4.2
Blizzaga III,660,3.9
Thundaga III,700,3.6
Stoneja,750,6
Waterja,800,5.6
Aeroja,850,5.2
Firaja,900,4.8
Blizzaja,950,4.4
Thundaja,1000,4
Stonera,150,3
Watera,180,2.8
Aerora,210,2.6
Fira,240,2.4
Blizzara,270,2.2
Thundara,300,2
Stonera II,350,4
Watera II,390,3.7
Aerora II,430,3.4
Fira II,470,3.1
Blizzara II,510,2.8
Thundara II,550,2.5
Ancient Magic,700,2
Ancient Magic II,800,2
Comet,1000,4
